filename,version,extracted_text,confidence
1_enhanced.jpg,enhanced,"Kinder RICH IN MILK SOLIDS MILKY CREAMY CRUNCHY WITH CRISPY PROPRIETARY FOOD - COCOA SPREADS WITH EXTRUDED RICE NUTRITIONAL INFORMATION CatEGOry: 2.4.1. INGREDIENTS: SUGAR, SKIMMED COW MILK POWDER Per 100 g Per serve %RDA (22%), PALMOLEIN, PALM OIL, EXTRUDED RICE (7.7%), LOW FAT COCOA Energy 539 kcal 5% POWDER (2.6%), EMULSIFIER (LECITHIN - INS 322), POWDERED BARLEY Protein 8.49 .3% MALT EXTRACT, NATURE-IDENTICAL FLAVOURING SUBSTANCES. Carbohydrates 55.4g - ALLERGEN INFORMATION: CONtaINS MILK, BARLEY, SOY. Total Sugars 48.8g - May contain traces of WHEAT. Added Sugars 36.3g 14% MD. BY: FERRERO INDIA PVT. LTD. ReD. Of. & FaCOy: Plot No.F-13, Total Fat 31.3g 9% MIDC, Baramati, District Pune - 413133, Maharashtra, India. Saturated Fat 14.2g 12% Trans Fat 0g Contact Consumer Executive at Regd. Off. address, Tel No. 0% Cholesterol 0.7 mg 1800-209-1200,e-mail: customercare.india@ferrero.com I Sodium 134 mg 1% STORE IN A COOL, HYGIENIC AND DRY PLACE. Vitamin B12 1.07 μg DO NOT KEEP IN THE FRIDGE 9% Serving size: 19 g (1 piece) Number of servings per pack: 24 T1x24 ITA NET WEIGHT: 456 g fssai 8 000500""346792""> (19gx24 N) Lic. No. 100130220021",0.9446
1_gray.jpg,gray,"Kinder ILK SOLIDS RICH IN MILKY CREAMY & CRUNCHY PROPRIETARY FOOD - COCOA SPREADS WITH EXTRUDED RICE NUTRITIONAL INFORMATION CategOry: 2.4.1. INGREDIENTS: SUGAR, SKIMMED COW MILK POWDER Per 100 g Per serve %RDA (22%), PALMOLEIN, PALM OIL, EXTRUDED RICE (7.7%), LOW FAT COCOA Energy 539 kcal 5% POWDER (2.6%), EMULSIFIER (LECITHIN - INS 322), POWDERED BARLEY Protein 8.4g .3% MALT EXTRACT, NATURE-IDENTICAL FLAVOURING SUBSTANCES. Carbohydrates 55.4g  ALLERGEN INFORMATION: CONtaiNS MILK, BARLEY, SOY. Total Sugars 48.8g - May contain traces of WHEAT. Added Sugars 36.3g 14% MFD. BY: FERRERO INDIA PVT. LTD. RegD. Off. & FaCtOry: Plot NO. F-13, Total Fat 31.3g 9% MIDC, Baramati, District Pune  413133, Maharashtra, India. Saturated Fat 14.2g 12% Trans Fat 0g Contact Consumer Executive at Regd. Off. address, Tel No. 0% Cholesterol 0.7 mg 1800-209-1200,e-mail:customercare.india@ferrero.com Sodium 134 mg STORE IN A COOL, HYGIENIC AND DRY PLACE. 1% Vitamin B12 1.07 μg DO NOT KEEP IN THE FRIDGE 9% Serving size: 19 g (1 piece) Number of servings per pack: 24 T1x24 I NET WEIGHT: 456 g fssai 8000500346792> (19gx24 N) Lic. No. 100130220021",0.9515
1_original.jpg,original,"Kinder MILK SOLIDS RICH IN MILKY CREAMY PROPRIETARY FOOD - COCOA SPREADS WITH EXTRUDED RICE NUTRITIONAL INFORMATION CategOry: 2.4.1. INGREDIENTS: SUGAR, SKIMMED COW MILK POWDER Per 100 g Per serve %RDA (22%), PALMOLEIN, PALM OIL, EXTRUDED RICE (7.7%), LOW FAT COCOA Energy 539 kcal 5% POWDER (2.6%), EMULSIFIER (LECITHIN - INS 322), POWDERED BARLEY Protein 8.4g .3% MALT EXTRACT, NATURE-IDENTICAL FLAVOURING SUBSTANCES. Carbohydrates 55.4g ALLERGEN INFORMATION: CONtaiNS MILK, BARLEY, SOY. Total Sugars 48.8g May contain traces of WHEAT. Added Sugars 36.3g 14% MFD. BY: FERRERO INDIA PVT. LTD. RegD. O. & FaCtOry: Plot No. F-13, Total Fat 31.3g 9% MIDC, Baramati, District Pune - 413133, Maharashtra, India. Saturated Fat 14.2g 12% Contact Consumer Executive at Regd. Off. address, Tel No. Trans Fat 0g 0% Cholesterol 0.7 mg 1800-209-1200,e-mail:customercare.india@ferrero.com Sodium 134 mg STORE IN A COOL, HYGIENIC AND DRY PLACE. 1% Vitamin B12 1.07 μg DO NOT KEEP IN THE FRIDGE 9% Serving size: 19 g (1 piece) Number of servings per pack: 24 T1x24 I* NET WEIGHT: 456 g fssai 8000500 346792> (19gx24 N) Lic. No. 100130220021",0.969
1_threshold.jpg,threshold,"Kinder MILKY *CREAMY* & CRUNCHY PROPRIETARY FOOD - COCOA SPREADS WITH EXTRUDED RICE NUTRITIONAL INFORMATION CaTegOry: 2.4.1. INGREDIENTS: SUGAR, SKIMMED COW MILK POWDER Per 100 g Per serve %6RDA (229), PALMOLEIN, PALM DIL, EXTRUDED RICE (7.7%), LOW FAT COCOA Energy 539 kcal 5% POWDER (2.6%, EMULSIFIER (LECITHIN - INS 322), POWDERED BARLEY Proteln 8,49 .3% MALT EXTRACT, NATURE-IDENTICAL FLAVOURING SUBSTANCES. Carbohydrates 55.4g - ALLERGEN INFORMATION: CONTaiNS MILK, BARLEY, SOY. Total Sugars 48.89 May contain traces of WHEAT. Added Sugars 36.39 14% MFD. BY: FERRERO INDIA PVT. LTD. RegD. Off. & FaCIOry: PlOI NO. F-13, Total Fat 31.39 9% MIDC, Baramati, District Pune - 413133, Maharashtra, India. Saturated Fat 14.29 12% Trans Fat 0g Contact Consumer Execudive al Regd. Off. address, Tel No. 0% Cholesteral 0.7mg 1800-209-1200,e-mail: customercare.indfa@ferrero.com - Sodium 134 mg 1% STORE IN A COOL, HYGIENIC AND DRY PLACE. Vitamin B12 1.07μg DO NOT KEEP IN THE FRIDGE 9% Serving size: 19 g (1 plece) Number of servings per pack: 24 T1x24 NET WEIGHT: 456 g fssat 8 000500""346792""> (19gx24 N) Lic. No. 100130220021",0.9478
2_enhanced.jpg,enhanced,"theORON O 0 811889298119 RORNC NAdO Saturated Fat 102 g (37.1%). Trars Fat 0.04 (1.% Cholesterol  mg. Sodium 80 g Per serve contnbuon  Recomended Detary Alowance (RDA) cacuated on te b A05Y27 Lic. No. 10011047000258 His Hyderabad-50o0cs Telangana RAVSNOTLN ICHACREAA cn4 Choco Spray (Sug Incl.ot al Taxes) Unt Sae Prco ().Mig. Dale. Use by !Buidda 2000 kcal Energy. Your daily values may be higher or lower depending on your calorie needs. keted By.Heritage Foods Ltd., HNo.8-2:293 82/A11286. Piot no.126. Boad no.1865.Jubk Carboydrate 398 g Total Sugars 32.3 g. Added Sugar 27.5 g (44%) Total MLKEEP FROZEN.STORE AT-18'COR BELOW ret040 2339 12212.Webs1eSWw.henlagefoodsin.CPCBReg No. BO:19-000.06 Nuts. Soy.",0.7136
2_gray.jpg,gray, Lot Ne &sin the OR Oo Ai AOEA O O CROCO 040 0 NAdO Caa 8al Suga .3g. A Sgar   TlFa 1.0  SatuatedFa 0   .0  Chol  Sod 0  r sere conon Recond tay AwaRatn  w01000 AsYa1 Lic. No.100140470002589 eey Hrae FoosLH oA . a  Hya0. ICE CREAM CRAFTED BY 0101 Mrk Fat. Emulsitier (Nsd71) & Edible Common Salt) 2000 kcal Energy. Your daily values may be higher or ower depending on your calone needs. 1OO Oil Dextrose. Nuts. Soy. Wheat SUN (%12)687 2,0.5696
2_original.jpg,original,"A LO NO A te CR PNTUSNU 0 0 100O ONAdO 0 Serving per Pack 1 Nos. Energy 322.4 keal (12.9%) Proten Fat 16.0 g (19.1%) Saturated Fat 102 g (37.1%) Trars Fat .04 .%Cholestel  g.Sodi0 g.er serve connuon  RecoenddDetary Alowan RD)calulated n te b O KRA Q0a Lic. No. 1001-4047000259 Marketed By. Heritae Foods Lt H No.82293 82A1286 Pt no16. Roadno1865 Jube H Hyerb500 Tngana ICE CREAM CRAFTED BY 0010 2000 kcal Energy. Your daily values may be higher orlower depending on your calone needs. UTRITIONAL INFORMATION (ApproxValues): Per 100g (%RDA#) Serving Size. 80g. 4.8 g (7.1%). Carbohydrate 39.8 g. Tolal Sugars 32.3 g. Added Sugar 27.5 g (44°%). Total L-D soces or wse joys youd Bke to share Toll-Free. 1-s00-425-2931, Email customer mation: Contains Milk, Nuts. Soy. Wheat",0.6243
2_threshold.jpg,threshold,"4 -  f 3 . 1 - uagnququcs Bvas - Jnoh uo  Dupuedap 4 − 8 )ano io jayon eq hew sanes ep 2 t . + . 2  sreons mol g 6c aephuoar bw cg wnpos tw e patsajou 4 +  - 2 ""xad > : - 25 •  1r !  P - r 6 4 070o a d .",0.4964
3_enhanced.jpg,enhanced,"Ingredlents: Water, MS NUTRITIONAL INFORMATION Liquid Glucose,Britte Brow (Approximate Values) Wheat Flour, Palm Kernel O  Nuts, Cocoa Powder, Maldetn,  Serving per Pack: Serving Raising Agent (NS 500 ).Coca Size: 569 1 Nos. Solids, Cocoa Brownie Cubes Suga % RDA' Cocoa Solids, Humectant (INS ) Per 100g Wheal Starch. Sweetened Condens Energy 265.5 kcal 74 Milk, Coconut Oi, Palmolein O L Glucose. Salt). Emulsifiers& Stab 5.3g Protein 5.5 NS 477, INS 471, INS 412, NS 410) 30.7g Food Color (INS 150d), Arifcal Carbohydrate Chocolate Brownie) Favounng  Total Sugars 27.3g Allergen Information: Contains Milk, Wheat &Nuts. May Contans So Added Sugar 19.49 21.7 Sticlyving an Total Fal 13.5g 11.3 pack according to local waste g Saturated Fat 8.2g 20.6 Trans Fat 0.01 g 0.28 M PP CIE  Cholesterol 32 mg KEEP FROZEN. STORE Sodium 62 mg AT -18°C OR BELOW 1.7 Per serve contribution to Net Quantity: 56 g/100 ml Recommended Dietary Allowance For MRP () (Icl. of ll Tave) (RDA) calculated on the basis of Unit Sale Price: () Mg. Date 2000 al Energy. Your daily values y e higher r lower depending Use by Date and Lot. No: on your calorie needs. (See on Lid/Tub)",0.9293
3_gray.jpg,gray,"Ingredients: Water, iS INFORMATION NUTRITIONAL Liquid Glucose Brite Bow VValues) (Appximate Wheat Flour, Palm Kernel O Cahe Nuts, Cocoa Powder, Maltodet S Serving per Pack: Serving Raising Agent NS 500 ).Cocoa Size: 569 1 Nos. Solids, Cocoa Brownie Cubes Sua Cocoa Solids, Humectant (INS 22) Per 100g % RDA' Wheat Starch, Sweetened Condensed 265.5 kcal 7.4 Milk, Cocont O, Palolein O Li Energy Glucose, Sat) Emusifiers& Stabs 5.3g 5.5 Protein NS  INS INS,  Food Color INS 150d), Ariil ICED 30.7g Carbohydrate Chocolate Bownie) Favouning Sbt Nate Total Sugars 27.3g Allergen Information: Contains HNES Milk, Wheat &Nuts. May Contains Soy RE Added Sugar 19.4g 21.7 Stc  n P Total Fat 13.5g 11.3 pack according t local waste uines Saturated Fat 8.2g 20.6 Trans Fat 0.01g 0.28 PP KEEP YOUR CITYCLEAN Cholesterol 32 mg KEEP FROZEN. STORE Sodium 62 mg AT -18°C OR BELOW 1.7 #Per serve contribution to Net Quantity: 56 g/100 mL Recommended Dietary Allowance For MRP () ncl. ofl a) (RDA) calculated on the basis of Unit Sale Price: ) M. Date 2000 kcal Energy. Your daily values y be higherlower depending Use by Date and Lot. Oo: on your calorie needs. (See on Lid/Tub)",0.8938
